Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2018,1,1,0,0,-16.5,-20.3,0,72.61,997,315,0.2
2018,1,1,1,0,-17,-20.8,0,72.3,997,317,0.2
2018,1,1,2,0,-17.5,-21.4,0,71.58,997,319,0.2
2018,1,1,3,0,-18,-21.9,0,71.45,997,319,0.2
2018,1,1,4,0,-18.8,-22.7,0,71.55,997,318,0.2
2018,1,1,5,0,-20.4,-24.2,0,71.67,997,315,0.2
2018,1,1,6,0,-21.7,-25.4,0,71.95,997,314,0.3
2018,1,1,7,0,-22.3,-25.9,0,72.77,998,316,0.4
2018,1,1,8,0,-22.7,-26.1,0,73.53,998,317,0.4
2018,1,1,9,0,-23,-26.4,0,73.64,998,318,0.4
2018,1,1,10,0,-23.3,-26.6,0,73.97,998,318,0.5
2018,1,1,11,0,-23.4,-26.8,0,73.28,998,318,0.5
2018,1,1,12,0,-23.4,-27,0,72.52,999,317,0.5
2018,1,1,13,0,-21.1,-25.4,62,68.19,999,319,0.2
2018,1,1,14,0,-18.4,-23.3,246,65.5,999,323,0.2
2018,1,1,15,0,-16.7,-21.9,376,63.96,999,323,0.2
2018,1,1,16,0,-15.3,-20.7,439,63.18,999,320,0.2
2018,1,1,17,0,-14.3,-19.9,418,62.68,998,316,0.3
2018,1,1,18,0,-13.8,-19.3,410,63.1,998,313,0.3
2018,1,1,19,0,-13.8,-19.1,341,64.48,998,312,0.3
2018,1,1,20,0,-14.5,-19.1,195,68.02,998,310,0.2
2018,1,1,21,0,-16.4,-20.2,33,72.15,998,307,0.2
2018,1,1,22,0,-18.3,-21.6,0,75.17,999,304,0.3
2018,1,1,23,0,-18.8,-21.6,0,78.26,999,298,0.5
2018,1,2,0,0,-18.9,-21.2,0,81.81,999,287,0.5
2018,1,2,1,0,-18.9,-20.9,0,84.48,999,268,0.5
2018,1,2,2,0,-19.1,-20.7,0,87.12,999,254,0.5
2018,1,2,3,0,-19.2,-20.6,0,88.65,998,247,0.5
2018,1,2,4,0,-19.5,-20.5,0,91.48,997,243,0.6
2018,1,2,5,0,-19.5,-20.4,0,92.48,997,247,0.6
2018,1,2,6,0,-18.8,-20.3,0,87.98,997,259,0.5
2018,1,2,7,0,-17.7,-19.6,0,85.32,997,268,0.3
2018,1,2,8,0,-17.4,-19.2,0,85.95,997,274,0.3
2018,1,2,9,0,-17.4,-19,0,87.01,998,276,0.4
2018,1,2,10,0,-17.3,-19.5,0,83.32,999,290,0.3
2018,1,2,11,0,-17.2,-19.9,0,79.16,1000,301,0.2
2018,1,2,12,0,-17.6,-20.8,0,76.1,1000,305,0.2
2018,1,2,13,0,-16.2,-20.2,63,71.22,1001,303,0.2
2018,1,2,14,0,-14.7,-19.3,242,67.81,1001,299,0.2
2018,1,2,15,0,-13.3,-18.4,354,65.44,1001,296,0.2
2018,1,2,16,0,-11.9,-17.1,394,65.5,1000,293,0.2
2018,1,2,17,0,-10.6,-15.5,396,67.18,998,287,0.2
2018,1,2,18,0,-9.6,-14.1,357,69.9,998,280,0.2
2018,1,2,19,0,-9.2,-13,112,73.68,998,269,0.2
2018,1,2,20,0,-9.6,-12.7,132,78.24,998,248,0.1
2018,1,2,21,0,-11.8,-14,32,83.38,997,232,0.1
2018,1,2,22,0,-12.6,-14.6,0,84.66,997,229,0.2
