Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2019,1,1,0,0,0.1,0.1,0,100,996,143,0.1
2019,1,1,1,0,0,0,0,100,993,133,0.2
2019,1,1,2,0,0,0,0,100,991,140,0.2
2019,1,1,3,0,0,0,0,100,989,141,0.2
2019,1,1,4,0,0.1,0.1,0,100,987,138,0.2
2019,1,1,5,0,0.2,0.2,0,100,984,132,0.2
2019,1,1,6,0,0.5,0.5,0,100,981,134,0.1
2019,1,1,7,0,0.8,0.8,0,100,978,157,0.1
2019,1,1,8,0,1.2,1.2,0,100,976,204,0.1
2019,1,1,9,0,2.4,2.4,0,100,974,228,0.2
2019,1,1,10,0,3.9,3.9,0,100,974,237,0.2
2019,1,1,11,0,4.4,4.4,0,100,974,239,0.2
2019,1,1,12,0,4.8,4.8,0,100,974,241,0.2
2019,1,1,13,0,5.5,5.5,41,100,975,251,0.3
2019,1,1,14,0,6.2,6.2,155,100,976,262,0.3
2019,1,1,15,0,6.5,6.4,188,99.46,978,279,0.3
2019,1,1,16,0,5.8,4.4,412,90.4,979,292,0.4
2019,1,1,17,0,5.1,2.8,435,85.26,980,298,0.4
2019,1,1,18,0,4.8,2.2,399,83.08,981,304,0.3
2019,1,1,19,0,3.9,1.4,289,83.64,983,307,0.3
2019,1,1,20,0,2.6,0.7,183,87.45,985,305,0.3
2019,1,1,21,0,1.1,0,43,92.54,987,303,0.2
2019,1,1,22,0,0.2,-0.6,0,94.09,989,302,0.2
2019,1,1,23,0,-0.4,-1.3,0,93.77,990,306,0.2
2019,1,2,0,0,-0.9,-1.9,0,92.84,991,309,0.2
2019,1,2,1,0,-1.7,-2.7,0,92.98,992,310,0.2
2019,1,2,2,0,-2.8,-3.4,0,95.34,992,307,0.1
2019,1,2,3,0,-3.9,-4.1,0,98.52,993,307,0.2
2019,1,2,4,0,-4.4,-4.7,0,97.75,993,313,0.2
2019,1,2,5,0,-5,-5.2,0,98.41,994,318,0.2
2019,1,2,6,0,-5.3,-5.7,0,96.72,995,322,0.2
2019,1,2,7,0,-5.4,-6.4,0,92.83,996,329,0.2
2019,1,2,8,0,-5.3,-6.8,0,88.92,996,335,0.2
2019,1,2,9,0,-5.3,-7.2,0,86.69,997,341,0.2
2019,1,2,10,0,-5.6,-7.6,0,85.53,998,345,0.2
2019,1,2,11,0,-5.4,-8,0,81.75,999,349,0.2
2019,1,2,12,0,-5.2,-8.3,0,79.02,1000,351,0.2
2019,1,2,13,0,-4.1,-9.1,63,68.36,1001,358,0.2
2019,1,2,14,0,-2.7,-9.9,177,57.68,1001,7,0.2
2019,1,2,15,0,-1.3,-10.7,345,48.72,1001,13,0.1
2019,1,2,16,0,-0.2,-11.4,346,42.53,1000,11,0.1
2019,1,2,17,0,0.6,-12.2,351,37.6,999,352,0.1
2019,1,2,18,0,0.7,-12,349,38.07,999,297,0
2019,1,2,19,0,0.2,-10.7,245,43.64,999,247,0.1
2019,1,2,20,0,-0.9,-6.9,112,63.96,998,182,0.3
2019,1,2,21,0,-2.9,-6.6,27,75.74,998,161,0.6
2019,1,2,22,0,-4,-5.6,0,88.6,997,165,0.2
2019,1,2,23,0,-4,-5.8,0,87.23,998,174,0.2
2019,1,3,0,0,-3.7,-5.9,0,84.73,997,171,0.2
2019,1,3,1,0,-3.7,-5.5,0,87.26,996,170,0.2
2019,1,3,2,0,-3.7,-5.1,0,89.94,995,169,0.2
2019,1,3,3,0,-3.5,-4.7,0,91.48,995,159,0.2
2019,1,3,4,0,-3.2,-4.3,0,92.15,993,148,0.2
2019,1,3,5,0,-2.6,-3.9,0,91.08,992,152,0.2
2019,1,3,6,0,-2,-3.1,0,91.97,992,163,0.2
2019,1,3,7,0,-1.7,-2.5,0,94.46,991,167,0.2
2019,1,3,8,0,-1.4,-2,0,95.95,988,166,0.2
2019,1,3,9,0,-1.1,-1.4,0,97.53,987,170,0.2
2019,1,3,10,0,-0.8,-0.9,0,99.18,986,179,0.2
2019,1,3,11,0,-0.5,-0.5,0,100,985,194,0.2
2019,1,3,12,0,-0.2,-0.2,0,100,985,213,0.2
2019,1,3,13,0,0.4,0.4,43,100,985,232,0.2
2019,1,3,14,0,1.2,1,124,98.47,985,250,0.1
2019,1,3,15,0,2.1,1.4,284,95.14,985,274,0.2
2019,1,3,16,0,2.9,1.2,421,88.72,984,295,0.2
2019,1,3,17,0,3.3,0.7,346,83.08,984,308,0.3
2019,1,3,18,0,3.2,0.3,277,81.56,984,315,0.2
2019,1,3,19,0,2.6,0.1,188,83.87,985,317,0.2
2019,1,3,20,0,1.2,-0.1,141,90.98,985,317,0.1
2019,1,3,21,0,-0.6,-1,31,97.1,986,309,0.1
2019,1,3,22,0,-0.9,-1.4,0,96.57,988,300,0.1
2019,1,3,23,0,-1.3,-1.8,0,96.23,988,298,0.1
2019,1,4,0,0,-2.2,-2.4,0,98.44,989,300,0.1
2019,1,4,1,0,-2.8,-2.9,0,99.14,989,297,0.1
2019,1,4,2,0,-3.1,-3.2,0,99.24,989,287,0.2
2019,1,4,3,0,-3.2,-3.4,0,98.74,988,279,0.2
2019,1,4,4,0,-3.4,-3.5,0,99.41,988,269,0.2
2019,1,4,5,0,-3.4,-3.5,0,98.92,988,257,0.2
2019,1,4,6,0,-3.3,-3.5,0,98.46,988,244,0.1
2019,1,4,7,0,-3.8,-3.8,0,100,988,237,0.1
2019,1,4,8,0,-4.1,-4.1,0,100,988,231,0.2
2019,1,4,9,0,-4.2,-4.2,0,100,988,230,0.2
2019,1,4,10,0,-4.4,-4.4,0,100,988,230,0.2
2019,1,4,11,0,-4.5,-4.5,0,100,988,224,0.1
2019,1,4,12,0,-4.1,-4.1,0,100,988,215,0.1
2019,1,4,13,0,-1.7,-2.6,81,93.26,988,204,0.2
