Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Relative Humidity,Pressure,Wind Direction,Wind Speed
2020,1,4,12,0,1.4,1.4,0,100,981,65,0.2
2020,1,4,13,0,2.2,2.2,8,100,981,81,0.1
2020,1,4,14,0,2.7,2.7,26,100,981,93,0.1
2020,1,4,15,0,2.9,2.9,12,100,980,107,0.2
2020,1,4,16,0,3,3,16,100,978,122,0.1
2020,1,4,17,0,3.2,3.2,21,100,977,134,0.1
2020,1,4,18,0,3.2,3.2,12,100,976,142,0.2
2020,1,4,19,0,3,3,20,100,975,144,0.3
2020,1,4,20,0,3.2,3.2,28,100,974,134,0.5
2020,1,4,21,0,3,3,9,100,974,72,0.6
2020,1,4,22,0,2,2,0,100,973,20,0.4
2020,1,4,23,0,1.7,1.7,0,100,973,6,0.1
2020,1,5,0,0,1.7,1.7,0,100,973,350,0.1
2020,1,5,1,0,1.4,1.4,0,100,973,347,0.2
2020,1,5,2,0,1.1,1.1,0,100,973,343,0.2
2020,1,5,3,0,0.7,0.7,0,100,973,329,0.2
2020,1,5,4,0,0.3,0.3,0,100,972,334,0.2
2020,1,5,5,0,0,0,0,100,972,329,0.2
2020,1,5,6,0,-0.2,-0.2,0,100,972,325,0.3
2020,1,5,7,0,-0.4,-0.4,0,100,973,322,0.3
2020,1,5,8,0,-0.7,-0.8,0,99.37,974,321,0.3
2020,1,5,9,0,-1.2,-1.4,0,98.25,974,319,0.3
2020,1,5,10,0,-1.7,-2.2,0,96.66,976,317,0.3
2020,1,5,11,0,-2.3,-3,0,95.25,977,315,0.3
2020,1,5,12,0,-2.7,-3.6,0,93.62,977,313,0.3
2020,1,5,13,0,-2,-3.5,39,89.62,979,311,0.3
2020,1,5,14,0,-1.1,-4,49,80.74,979,316,0.4
2020,1,5,15,0,-0.6,-4.4,240,75.56,980,316,0.4
2020,1,5,16,0,-0.3,-4.5,238,73.42,980,315,0.4
2020,1,5,17,0,-0.2,-4.5,193,72.69,980,313,0.4
2020,1,5,18,0,-0.3,-4.6,206,72.97,981,312,0.4
2020,1,5,19,0,-0.8,-4.7,329,74.86,982,311,0.4
2020,1,5,20,0,-1.6,-5,199,77.76,983,312,0.3
2020,1,5,21,0,-2.6,-5.4,55,81.27,984,310,0.3
2020,1,5,22,0,-3.4,-5.8,0,83.19,985,306,0.3
2020,1,5,23,0,-4.4,-6.5,0,85.19,987,302,0.2
2020,1,6,0,0,-4.9,-6.9,0,85.58,987,301,0.2
2020,1,6,1,0,-5.6,-7.4,0,86.81,987,300,0.2
2020,1,6,2,0,-6.1,-7.7,0,88.52,987,297,0.3
2020,1,6,3,0,-6.4,-7.6,0,91.18,987,289,0.4
2020,1,6,4,0,-6.4,-7.3,0,93.03,986,278,0.4
2020,1,6,5,0,-5.4,-6.8,0,90.07,986,273,0.3
2020,1,6,6,0,-4.4,-6.1,0,88.07,987,258,0.3
2020,1,6,7,0,-3.8,-5.4,0,88.65,987,239,0.2
2020,1,6,8,0,-3.5,-4.8,0,90.41,987,219,0.2
2020,1,6,9,0,-3.4,-4.6,0,91.17,987,213,0.2
